Time (sec),SetpointLivingZone,Text.T
298800,21,0.593263
299700,21,0.58942
300600,21,0.585293
301500,21,0.580903
302400,21,0.576273
303300,21,0.571425
304200,21,0.566384
305100,21,0.56117
306000,21,0.555808
306900,21,0.550319
307800,21,0.544727
308700,21,0.539054
309600,21,0.533323
310500,21,0.527557
311400,21,0.521778
312300,21,0.516009
313200,21,0.510273
314100,21,0.504592
315000,21,0.49899
315900,21,0.493489
316800,21,0.488111
317700,21,0.48288
318600,21,0.477818
319500,21,0.472948
320400,21,0.468293
321300,21,0.463875
322200,21,0.459717
323100,21,0.455842
324000,21,0.452273
324900,21,0.449032
325800,21,0.446141
326700,21,0.443625
327600,21,0.441505
328500,21,0.439804
329400,21,0.438545
330300,21,0.437751
331200,21,0.437444
332100,21,0.437648
333000,21,0.438384
333900,21,0.439676
334800,21,0.441545
335700,21,0.444016
336600,21,0.447111
337500,16,0.450852
338400,16,0.455263
339300,16,0.460365
340200,16,0.466182
341100,16,0.472736
342000,16,0.480051
342900,16,0.488148
343800,16,0.49705
344700,16,0.506782
345600,16,0.517364
346500,16,0.528819
347400,16,0.541172
348300,16,0.554443
349200,16,0.568657
350100,16,0.583835
351000,16,0.6
351900,16,0.616667
352800,16,0.633333
353700,16,0.65
354600,16,0.666667
355500,16,0.683333
356400,16,0.7
357300,16,0.716667
358200,16,0.733333
359100,16,0.75
360000,16,0.766667
360900,16,0.783333
361800,16,0.8
362700,16,0.816667
363600,16,0.833333
364500,16,0.85
365400,16,0.866667
366300,16,0.883333
367200,16,0.9
368100,16,0.916667
369000,16,0.933333
369900,16,0.95
370800,21,0.966667
371700,21,0.983333
372600,21,1
373500,21,1.01667
374400,21,1.03333
375300,21,1.05
376200,21,1.06667
377100,21,1.08333
378000,21,1.1
378900,21,1.11667
379800,21,1.13333
380700,21,1.15
381600,21,1.16667
382500,21,1.18333
383400,21,1.2
384300,21,1.21667
385200,21,1.23333
386100,21,1.25
387000,21,1.26667
387900,21,1.28333
388800,21,1.3
389700,21,1.31667
390600,21,1.33333
391500,21,1.35
392400,21,1.36667
393300,21,1.38333
394200,21,1.4
395100,21,1.41667
396000,21,1.43333
396900,21,1.45
397800,21,1.46667
398700,21,1.48333
399600,21,1.5
400500,21,1.51667
401400,21,1.53333
402300,21,1.55
403200,21,1.56667
404100,21,1.58333
405000,21,1.6
405900,21,1.61667
406800,21,1.63333
407700,21,1.65
408600,21,1.66667
409500,21,1.68333
410400,21,1.7
411300,21,1.71667
412200,21,1.73333
413100,21,1.75
414000,21,1.76667
414900,21,1.78333
415800,21,1.8
416700,21,1.81667
417600,21,1.83333
418500,21,1.85
419400,21,1.86667
420300,21,1.88333
421200,21,1.9
422100,21,1.91667
423000,21,1.93333
423900,16,1.95
424800,16,1.96667
425700,16,1.98333
426600,16,2
427500,16,2.01667
428400,16,2.03333
429300,16,2.05
430200,16,2.06667
431100,16,2.08333
432000,16,2.1
432900,16,2.11667
433800,16,2.13333
434700,16,2.15
435600,16,2.16667
436500,16,2.18333
437400,16,2.2
438300,16,2.21667
439200,16,2.23333
440100,16,2.25
441000,16,2.26667
441900,16,2.28333
442800,16,2.3
443700,16,2.31667
444600,16,2.33333
445500,16,2.35
446400,16,2.36667
447300,16,2.38333
448200,16,2.4
449100,16,2.41667
450000,16,2.43333
450900,16,2.45
451800,16,2.46667
452700,16,2.48333
453600,16,2.5
454500,16,2.51667
455400,16,2.53333
456300,16,2.55
457200,21,2.56667
458100,21,2.58333
459000,21,2.6
459900,21,2.61664
460800,21,2.63324
461700,21,2.64978
462600,21,2.66628
463500,21,2.68273
464400,21,2.69913
465300,21,2.71548
466200,21,2.73178
467100,21,2.74802
468000,21,2.76422
468900,21,2.78036
469800,21,2.79646
470700,21,2.8125
471600,21,2.82849
472500,21,2.84442
473400,21,2.8603
474300,21,2.87613
475200,21,2.8919
476100,21,2.90762
